,tp,alpha13_nom,alpha13_sd,alphaD_nom,alphaD_sd,gamma_nom,gamma_sd
0,30.0,,,,,,
1,30.1,0.9928,0.0111,0.9278,0.1074,0.9983,0.0130
2,30.2,0.9708,0.0118,0.7494,0.1006,0.9997,0.0060
3,30.3,0.9902,0.0005,0.9146,0.0040,1.0010,0.0005
4,30.4,0.9869,0.0004,0.8785,0.0037,1.0002,0.0004
