tp,f,unc_f,d13C,unc_d13C,dD,unc_dD,D13CH3D,unc_D13CH3D
37,1,0.05,-39.05532711,0.102914425,-163.5698621,0.102578385,2.174946733,0.593687202
37.1,0.953912631,0.067451809,-36.45137326,0.115997944,-144.2347424,0.102578385,1.81671158,0.525373959
37.2,0.584,0.041295036,-29.68374256,0.06302884,-88.51174291,0.053894185,-0.483387975,0.304449153
37.3,0.4695,0.033198663,-20.95007239,0.0598156,-9.202315716,0.059620288,-1.819680667,0.356941967
37.4,0.3625,0.025632621,-16.39130242,0.080306232,36.82750418,0.080044013,-1.871166116,0.382850827
